Iter,O,D,aCost,bCost
97,N001,N003,0.5331428570000001,1.3755574830000001
97,N004,N002,0.516571428,1.352857143
97,N004,N003,0.566571428,1.3684714416666668
98,N001,N002,0.48314285700000004,1.337857143
98,N001,N003,0.5331428570000001,1.3755574830000001
98,N004,N002,0.516571428,1.352857143
98,N004,N003,0.566571428,1.3684714416666668
99,N001,N002,0.48314285700000004,1.337857143
99,N001,N003,0.5331428570000001,1.3755574830000001
99,N004,N002,0.516571428,1.352857143
99,N004,N003,0.566571428,1.3684714416666668
100,N001,N002,0.48314285700000004,1.337857143
100,N001,N003,0.5331428570000001,1.3755574830000001
100,N004,N002,0.516571428,1.352857143
100,N004,N003,0.566571428,1.3684714416666668
101,N001,N002,0.48314285700000004,1.337857143
101,N001,N003,0.5331428570000001,1.3755574830000001
101,N004,N002,0.516571428,1.352857143
101,N004,N003,0.566571428,1.3684714416666668
102,N001,N002,0.48314285700000004,1.337857143
102,N001,N003,0.5331428570000001,1.3755574830000001
102,N004,N002,0.516571428,1.352857143
102,N004,N003,0.566571428,1.3684714416666668
103,N001,N002,0.48314285700000004,1.337857143
103,N001,N003,0.5331428570000001,1.3755574830000001
103,N004,N002,0.516571428,1.352857143
103,N004,N003,0.566571428,1.3684714416666668
104,N001,N002,0.48314285700000004,1.337857143
104,N001,N003,0.5331428570000001,1.3755574830000001
104,N004,N002,0.516571428,1.352857143
104,N004,N003,0.566571428,1.3684714416666668
105,N001,N002,0.48314285700000004,1.337857143
105,N001,N003,0.5331428570000001,1.3755574830000001
105,N004,N002,0.516571428,1.352857143
105,N004,N003,0.566571428,1.3684714416666668
106,N001,N002,0.48314285700000004,1.337857143
106,N001,N003,0.5331428570000001,1.3755574830000001
106,N004,N002,0.516571428,1.352857143
106,N004,N003,0.566571428,1.3684714416666668
107,N001,N002,0.48314285700000004,1.337857143
107,N001,N003,0.5331428570000001,1.3755574830000001
107,N004,N002,0.516571428,1.352857143
107,N004,N003,0.566571428,1.3684714416666668
108,N001,N002,0.48314285700000004,1.337857143
108,N001,N003,0.5331428570000001,1.3755574830000001
108,N004,N002,0.516571428,1.352857143
108,N004,N003,0.566571428,1.3684714416666668
109,N001,N002,0.48314285700000004,1.337857143
109,N001,N003,0.5331428570000001,1.3755574830000001
109,N004,N002,0.516571428,1.352857143
109,N004,N003,0.566571428,1.3684714416666668
110,N001,N002,0.48314285700000004,1.337857143
110,N001,N003,0.5331428570000001,1.3755574830000001
110,N004,N002,0.516571428,1.352857143
110,N004,N003,0.566571428,1.3684714416666668
111,N001,N002,0.48314285700000004,1.337857143
111,N001,N003,0.5331428570000001,1.3755574830000001
111,N004,N002,0.516571428,1.352857143
111,N004,N003,0.566571428,1.3684714416666668
112,N001,N002,0.48314285700000004,1.337857143
112,N001,N003,0.5331428570000001,1.3755574830000001
112,N004,N002,0.516571428,1.352857143
112,N004,N003,0.566571428,1.3684714416666668
113,N001,N002,0.48314285700000004,1.337857143
113,N001,N003,0.5331428570000001,1.3755574830000001
113,N004,N002,0.516571428,1.352857143
113,N004,N003,0.566571428,1.3684714416666668
114,N001,N002,0.48314285700000004,1.337857143
114,N001,N003,0.5331428570000001,1.3755574830000001
114,N004,N002,0.516571428,1.352857143
114,N004,N003,0.566571428,1.3684714416666668
115,N001,N002,0.48314285700000004,1.337857143
115,N001,N003,0.5331428570000001,1.3755574830000001
115,N004,N002,0.516571428,1.352857143
115,N004,N003,0.566571428,1.3684714416666668
116,N001,N002,0.48314285700000004,1.337857143
116,N001,N003,0.5331428570000001,1.3755574830000001
116,N004,N002,0.516571428,1.352857143
116,N004,N003,0.566571428,1.3684714416666668
117,N001,N002,0.48314285700000004,1.337857143
117,N001,N003,0.5331428570000001,1.3755574830000001
117,N004,N002,0.516571428,1.352857143
117,N004,N003,0.566571428,1.3684714416666668
118,N001,N002,0.48314285700000004,1.337857143
118,N001,N003,0.5331428570000001,1.3755574830000001
118,N004,N002,0.516571428,1.352857143
118,N004,N003,0.566571428,1.3684714416666668
119,N001,N002,0.48314285700000004,1.337857143
119,N001,N003,0.5331428570000001,1.3755574830000001
119,N004,N002,0.516571428,1.352857143
119,N004,N003,0.566571428,1.3684714416666668
120,N001,N002,0.48314285700000004,1.337857143
120,N001,N003,0.5331428570000001,1.3755574830000001
120,N004,N002,0.516571428,1.352857143
120,N004,N003,0.566571428,1.3684714416666668
121,N001,N002,0.48314285700000004,1.337857143
121,N001,N003,0.5331428570000001,1.3755574830000001
121,N004,N002,0.516571428,1.352857143
121,N004,N003,0.566571428,1.3684714416666668
122,N001,N002,0.48314285700000004,1.337857143
122,N001,N003,0.5331428570000001,1.3755574830000001
